Year, Article Count, Ref Count
1935,1,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,1,1
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,1,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,1,0
1965,0,0
1966,1,1
1967,1,1
1968,3,3
1969,1,1
1970,4,4
1971,3,2
1972,2,1
1973,7,5
1974,5,4
1975,2,1
1976,3,2
1977,3,2
1978,5,5
1979,4,4
1980,7,3
1981,10,9
1982,4,4
1983,5,4
1984,6,6
1985,9,8
1986,12,11
1987,19,13
1988,23,20
1989,11,11
1990,11,11
1991,11,10
1992,15,12
1993,18,15
1994,15,11
1995,20,16
1996,27,23
1997,25,19
1998,31,28
1999,33,26
2000,35,24
2001,31,24
2002,25,19
2003,25,21
2004,25,20
2005,35,28
2006,36,25
2007,28,22
2008,38,29
2009,38,30
2010,44,33
2011,49,38
2012,69,52
2013,81,63
2014,87,70
2015,135,105
2016,149,115
2017,213,175
2018,295,237
2019,382,326
2020,490,408
2021,646,505
2022,559,349
