n,cpu,gpu,qs1,qs3,qs5
10,9.065783178666607e-06,6.197067537162053e-05,6.39582925700649e-06,7.80477157419747e-06,1.1001709797086992e-05
20,1.3872079080070502e-05,7.080528512763392e-05,7.136749824359348e-06,9.606702927100872e-06,1.9034518697215907e-05
100,0.00017792623539904264,0.00018005503462710683,1.2145791262903782e-05,2.445341581478715e-05,5.692189899938447e-05
200,0.0012854886282750936,0.0003354111804261005,1.8500549581367522e-05,4.533397565662329e-05,0.00010253774062813526
1000,0.10421892389921206,0.0015108866428490727,6.948797937116718e-05,0.00021522784556561548,0.0005186860286963306
2000,0.8304863124503754,0.003514654867301163,0.00013171397217166876,0.0004207090865654339,0.0010477332735650375
10000,,0.04794244974203009,0.0006475226671318523,0.0020207963656866923,0.0047184478429179375
20000,,0.2664265472890942,0.0013549198737185049,0.0042004315528486455,0.009258928062876553
100000,,,0.005349740181450865,0.020381783857010307,0.054004324315714516
